,kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1
2302,9837661.03,CANDIDATE,0.9547452338389684,0.0011071001273901912,0.12942830365510777,0.007086928854921771,0.17300000000000001,0.14687725075843963,6.626225881998295e-05,0.9922650954458948,0.862
2303,7769819.01,CONFIRMED,0.0,0.0010879225268276484,0.1292900656044986,0.007518286482763146,0.018000000000000002,0.09556861083685864,8.97636510816295e-05,0.9922987754474326,0.606
2304,11874577.01,CANDIDATE,0.0,0.0010920397518071774,0.12932755388940956,0.007373569062223244,0.008,0.14081350240407098,0.00010401449532539391,0.9923758626655644,0.8140000000000001
2305,12164564.01,CONFIRMED,0.0,0.0010870286556149875,0.12906115276476102,0.007293666152786434,0.21600000000000003,0.1535940181663557,9.368054979190394e-05,0.9923551010207808,0.853
2306,8190354.01,FALSE POSITIVE,0.0,0.0011830520934599236,0.1289997656982193,0.011437661954275594,0.0,0.2741226777639605,8.509670793747275e-05,0.9923766316153713,0.35200000000000004
2307,3425851.01,CANDIDATE,0.0,0.0010008378011093213,0.12792877225866917,0.007117787909600814,0.0,0.1315779472181864,0.00043995106343424966,0.9919452507737557,0.9
2308,10397751.01,CONFIRMED,0.9550063020927272,0.0011037413385911019,0.12917525773195876,0.007763636960015746,0.03,0.17990135718069358,5.0844678790179335e-05,0.9922986601049616,0.615
2309,10397751.02,CONFIRMED,0.9544900276785231,0.0010700721895808747,0.12860719306466728,0.006914422540755077,0.409,0.22813147870697972,3.026012599363075e-05,0.9922202656721583,0.615
2310,10397751.03,CANDIDATE,0.9552008998761047,0.0011097004800088412,0.12875187441424554,0.006575589595565323,0.0,0.30779980323976186,1.9209471334430963e-05,0.9922395278648186,0.615
2311,10397751.05,CANDIDATE,0.9556645843012566,0.0010772773332950504,0.12877143861293347,0.0071092334437629166,0.018000000000000002,0.30565416920667754,2.3918083613803473e-06,0.9922120379092254,0.615
2312,7815931.01,FALSE POSITIVE,0.0,0.0011333203496282445,0.12889819587628865,0.009187850559254765,0.0,0.15228798005926092,5.142804668319892e-05,0.9925738672408159,0.207
2313,6679295.01,CANDIDATE,0.0,0.0011093483489250657,0.12908352858481725,0.008007019385311773,0.0,0.19743958319025218,4.80945158659441e-05,0.9922082700551721,0.376
2314,9642292.01,CONFIRMED,0.0,0.0011011680729788962,0.1293123242736645,0.008805392462361008,0.36200000000000004,0.14305242487337633,8.7180164698257e-05,0.9923916261366039,0.9359999999999999
2315,6356692.01,CANDIDATE,0.0,0.001074731154689289,0.1287865510777882,0.008204808606947224,0.55,0.20285031249107344,5.592831328649296e-05,0.9923512562717468,0.948
2316,6026737.01,CANDIDATE,0.9580230786248503,0.0011047706448359842,0.12904463448922213,0.006565093318463608,0.48200000000000004,0.2499609727827069,2.417643225214067e-05,0.992320306042023,0.6940000000000001
2317,6026737.02,CANDIDATE,0.9547859244963375,0.001099434504566463,0.12844657919400188,0.007871223800308328,0.018000000000000002,0.28680990509002413,1.0558958863654678e-05,0.99222272631154,0.6940000000000001
