kepid_plnt,fpp_prob,fpp_score,fpp_spec_occrate
7458762.01,0.00054,1400.0,0.203
757450.01,6.6e-05,560.0,0.07200000000000001
7585481.01,8.399999999999999e-09,230.0,0.071
7663691.01,2.3e-06,120.0,0.10099999999999999
5812701.01,0.053,2.8,0.033
8013419.01,0.00015,280.0,0.051
8018547.01,1.0,2.3e-10,0.051
8039892.01,1.8e-08,240.0,0.061
8150320.01,7.1e-06,8400.0,0.165
8150320.02,1.0,0.88,0.16
8150320.03,1.0,0.28,0.005
8150320.04,5.5e-05,1200.0,0.149
8150320.05,0.0024,260.0,0.159
11086270.01,0.00033,3.3,0.21100000000000002
11086270.02,9.9e-06,44.0,0.19699999999999998
7767559.01,3.7000000000000006e-06,85.0,0.07
7825899.01,6.4e-05,360.0,0.099
7825899.02,2e-05,3300.0,0.18899999999999997
7825899.03,0.022000000000000002,5.9,0.139
7849854.01,0.015,1200.0,0.039
7870390.01,5.7999999999999994e-05,340.0,0.20800000000000002
7870390.02,0.00018999999999999998,510.0,0.195
7870390.03,0.0024,18.0,0.218
7907423.01,0.00016999999999999999,440.0,0.10800000000000001
7907423.02,0.0027,100.0,0.09
7907423.03,0.0017,77.0,0.102
7938496.01,0.001,190.0,0.057
8490993.01,2.3e-05,550.0,0.20199999999999999
8490993.02,0.019,5.9,0.19
8505670.01,4e-05,1100.0,0.204
8505670.02,0.0003,290.0,0.128
8544996.01,2.1000000000000002e-06,570.0,0.079
8552202.01,7.2999999999999996e-06,390.0,0.21600000000000003
8180063.01,0.57,5.3,0.051
8226994.01,9.9e-06,1600.0,0.212
8226994.02,0.0013,97.0,0.218
8226994.03,0.0017,290.0,0.109
8247638.01,5.1e-05,250.0,0.192
8247638.02,0.015,20.0,0.141
8247638.03,0.00014,480.0,0.149
8247638.04,0.0015,24.0,0.16899999999999998
8255887.01,4.9e-05,1000.0,0.063
8256049.01,1.0,4.9,0.001
8414716.01,3.1e-06,2100.0,0.204
9140402.01,1.0,4.8,0.163
9141746.01,0.00032,400.0,0.067
9159275.01,1.0,0.00011,0.009000000000000001
9166862.01,1.6e-05,1300.0,0.064
9166870.01,6e-06,2400.0,0.10099999999999999
11449844.01,0.00032,120.0,0.073
8605074.01,0.74,17.0,0.008
8628973.01,0.00011,3500.0,0.158
8655354.01,0.93,22.0,0.05
8672910.01,0.00036,53.0,0.07200000000000001
8686150.01,0.9,0.5,0.001
8689031.01,0.00042,510.0,0.172
8689373.01,0.00045,79.0,0.2
8689373.02,5.9e-05,150.0,0.17300000000000001
8689373.03,0.00021,1900.0,0.17300000000000001
8826878.01,4.2e-05,690.0,0.20600000000000002
5897826.01,0.75,2.5,0.043
8883593.01,1.3e-06,85.0,0.14300000000000002
8951215.01,0.26,18.0,0.071
9016295.01,0.96,540.0,0.006
9077124.01,3.1e-13,680.0,0.11699999999999999
9097120.01,0.99,280.0,0.001
9466668.01,0.022000000000000002,32.0,0.21899999999999997
9466668.02,4.7e-05,1700.0,0.209
