kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
8395660.02,CONFIRMED,0.9548637106322255,2.093,38.07,7.869,0.012,0.040619999999999996,65.59,1.8780000000000001,43.8444,2.895,65.18
8395660.04,CONFIRMED,0.950381926622982,3.25,6.013,0.018940000000000002,0.096,0.2322,10.88,1.194,23.9801,1.166,11.88
8395660.03,CONFIRMED,0.9554386796333394,2.311,8.292,2.66,0.5670000000000001,0.1859,11.55,0.9714,6.16484,0.8626,12.51
11656840.01,FALSE POSITIVE,0.0,11.46,461.9,127.2,0.0,0.003123,1045.0,1.896,7.44265,15.32,977.1
11754553.01,CONFIRMED,0.9539669334169092,1.891,20.2,8.391,0.204,0.062360000000000006,41.45,1.46,7.87742,3.2489999999999997,44.56
11754553.02,CONFIRMED,0.9550329376979028,2.795,12.92,4.36,0.588,0.09024,28.12,1.4240000000000002,16.3849,2.165,29.98
11754553.03,CONFIRMED,0.9499679070317204,2.5780000000000003,7.404,5.749,0.01,0.1624,19.8,1.785,36.4453,2.1919999999999997,21.19
11812062.01,CONFIRMED,0.0,1.9280000000000002,197.6,35.95,0.0,0.006177,360.2,-0.3734,3.72873,6.287000000000001,360.4
11818800.01,CANDIDATE,0.0,3.517,23.52,9.479,0.027000000000000003,0.06446,94.07,2.925,40.4195,7.419,83.3
11853255.01,CONFIRMED,0.0,2.287,26.86,7.816,0.0,0.06704,30.58,1.5819999999999999,2.2433799999999997,2.004,39.86
11909839.01,FALSE POSITIVE,0.0,14.65,375.5,124.3,0.5529999999999999,0.005299,691.2,2.5269999999999997,10.405999999999999,11.3,696.2
11918099.01,CONFIRMED,0.9549605675285683,2.226,43.37,8.051,0.0,0.051910000000000005,63.59,1.151,2.33744,2.6860000000000004,74.21
11918099.02,CANDIDATE,0.9527680674179164,3.005,7.481,0.8439,0.057999999999999996,0.3843,9.167,0.4949,7.24063,1.81,13.04
11923270.01,CONFIRMED,0.0,1.954,39.28,8.97,0.17800000000000002,0.038380000000000004,62.38,1.945,11.5982,2.682,67.92
11960862.01,CONFIRMED,0.0,2.301,114.7,32.27,0.013000000000000001,0.01207,210.2,1.095,6.575310000000001,5.4510000000000005,211.2
12020329.01,CONFIRMED,0.0,2.38,130.3,31.8,0.0,0.01273,235.0,1.504,7.27504,4.906000000000001,234.5
12066335.01,CONFIRMED,0.9534625892455851,2.803,15.51,5.914,0.0,0.1053,28.49,2.985,19.2715,2.42,30.73
12066335.02,CONFIRMED,0.9550718099505364,2.9610000000000003,12.26,3.4810000000000003,0.0,0.1253,21.66,2.84,10.0653,2.211,25.69
12070811.01,CONFIRMED,0.0,2.605,18.66,4.309,0.758,0.0869,31.61,2.224,12.3935,2.602,33.47
3120431.01,FALSE POSITIVE,0.0,0.7336,4.198,28.01,0.0,0.09374,32.72,-0.2873,1.6709200000000002,2.074,34.77
3342970.01,CONFIRMED,0.9552008998761903,1.6230000000000002,32.0,12.24,0.0,0.05127,48.73,0.5761,2.7115099999999996,3.48,56.03
3342970.02,CONFIRMED,0.9553121789359933,2.46,25.9,9.22,0.0,0.07092999999999999,40.04,1.597,7.212039999999999,3.654,45.06
12470844.01,CONFIRMED,0.9561828874674846,3.1060000000000003,26.68,7.726,0.046,0.06577999999999999,39.87,1.8459999999999999,8.472380000000001,2.9019999999999997,45.17
12470844.02,CONFIRMED,0.9574271077563418,2.9760000000000004,9.088,3.168,0.424,0.2511,15.14,0.7648,60.4192,2.4290000000000003,16.65
12644822.01,CONFIRMED,0.0,2.5639999999999996,131.7,37.4,0.0,0.0141,207.6,1.681,12.6119,7.561,208.1
2445129.01,FALSE POSITIVE,0.0,16.17,-8.125,43.17,0.0,0.0897,34.78,0.6515,10.3187,5.074,33.81
2713049.01,CONFIRMED,0.0,2.263,25.4,4.488,0.085,0.07057000000000001,34.04,1.195,2.53916,2.501,37.02
3114167.01,CONFIRMED,0.0,2.306,27.03,10.63,0.005,0.04686,43.84,2.02,6.770289999999999,2.911,49.97
3115833.01,CANDIDATE,0.0,3.005,89.98,24.01,0.021,0.01618,173.1,1.837,10.1816,7.742000000000001,170.0
4139816.02,CONFIRMED,0.9515279320153625,2.406,17.49,4.879,0.016,0.1315,27.24,1.54,20.0604,2.033,28.29
4139816.03,CONFIRMED,0.9519716382329947,3.122,12.6,5.244,0.006,0.1675,18.02,1.26,46.1845,1.874,20.64
4139816.04,CONFIRMED,0.9542150259713316,2.54,7.4639999999999995,0.04705,0.048,0.243,12.58,1.38,7.82499,1.2919999999999998,13.49
4139816.01,CONFIRMED,0.9551751413023167,3.448,35.24,10.73,0.057999999999999996,0.046810000000000004,58.18,3.39,3.3402199999999995,2.349,65.38
4275191.01,CONFIRMED,0.0,1.8719999999999999,195.1,39.72,0.0,0.006155,375.5,-0.1896,3.89594,7.638,368.6
4476123.01,CONFIRMED,0.0,3.234,17.6,2.451,0.799,0.1249,25.6,1.403,22.3666,2.411,27.7
3351888.01,CONFIRMED,0.0,2.072,418.0,23.69,0.0,0.005138,712.5,-24.76,1.62552,10.3,746.6
3453214.01,CANDIDATE,0.0,2.541,165.6,33.14,0.0,0.007937999999999999,353.9,2.401,19.6203,14.0,338.0
3554600.01,FALSE POSITIVE,0.0,12.11,-12.94,18.88,,0.2973,11.54,1.985,7.54436,1.517,12.24
3641726.01,CANDIDATE,0.0,2.8080000000000003,27.01,7.011,0.09699999999999999,0.0649,47.37,2.0709999999999997,9.0293,2.9219999999999997,51.54
3734868.01,FALSE POSITIVE,0.0,16.6,243.6,102.5,0.0,0.018580000000000003,589.4,2.747,10.328,13.17,592.3
