rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
3813,4917596,K01973.01,3.29,1.87,0.0011,1900,0.182,92,0.5,0.0000015,0.0000067,0.00028,0.000068,0.00035,0.00037,0.024,4648,57.44,-86.17,0.71,0.019,-0.023,0.77,0.025,-0.035,9.28,0.431,-0.16,607,21.7,-24.64,0.22,0.078,-0.131
3814,7289577,K01974.01,109.445,3.82,0.00014,30,0.135,295,0.57,0.000000048,0.000075,0.000067,0.000000032,0.0000013,0.0000003,0.038,5470,92.49,-82.03,0.88,0.042,-0.036,0.92,0.037,-0.038,9.63,0.267,-0.361,812,41.97,-35.73,0.16,0.094,-0.085
3815,9872292,K01537.01,10.192,1.53,0.99,0.034,0.141,15,0.87,0.000000044,0.000000002,0.49,0.0037,0.46,0.042,0.008,5999,62.86,-58.37,1.75,0.066,-0.063,1.25,0.079,-0.075,9.64,0.097,-0.072,494,19.57,-19.92,0.12,0.014,-0.03
3816,9963461,K01538.01,10.582,45.35,0.96,62,0.001,5482,0.5,0.0094,0.95,0.00011,0.000023,0.000000069,1.9E-11,0.316,6485,111.47,-170.1,1.27,0.439,-0.193,1.16,0.212,-0.12,9.39,0.19,-0.181,954,330.43,-152.92,0.25,0.053,-0.108
3817,8081482,K01539.01,2.819,23.55,0.2,5.8,0.011,2514,0.5,0.17,0.014,0.014,7.4E-14,3E-13,3.7E-14,0.255,5443,76.12,-65.96,0.85,0.079,-0.059,0.88,0.043,-0.052,9.65,0.366,-0.434,670,62.77,-49.17,0.08,0.063,-0.054
3818,5649956,K01540.01,1.208,46.11,0.91,69,0.001,260,0.5,0.077,0.56,0.0000037,0.021,0.25,0.00016,0.417,5840,127.82,-201.65,1.03,0.241,-0.115,1.02,0.069,-0.077,9.63,0.226,-0.385,1232,287.89,-149.22,0.59,0.096,-0.17
3819,4840513,K01541.01,2.379,31.44,0.98,990,0.001,1885,0.5,0.09,0.89,0.00011,1E-15,1.4E-09,8.3E-36,0.208,6287,103.03,-140.8,1.37,0.571,-0.191,1.24,0.175,-0.096,9.42,0.106,-0.188,1762,715.87,-257.67,0.34,0.054,-0.095
3820,8113154,K01542.01,2.587,29.54,0.97,21,0.001,6278,0.5,0.012,0.95,0.00073,0.0000017,0.00054,3.9E-23,0.151,6766,274.25,-179.34,1.79,0.629,-0.33,1.48,0.217,-0.155,9.21,0.111,-0.099,965,331.84,-183.91,0.18,0.149,-0.12
3821,5270698,K01543.01,3.964,16.93,0.011,76,0.043,626,0.5,4.8E-09,0.011,1.1E-10,1.7E-16,1E-15,1.4E-18,0.151,5852,106.76,-138.36,1.02,0.219,-0.095,1.02,0.064,-0.068,9.61,0.243,-0.368,1081,233.49,-107.06,0.21,0.075,-0.117
3822,5024450,K01544.01,1.526,58.56,0.91,97,0.001,152,0.5,0.13,0.55,0.00000022,0.015,0.22,0.001,0.438,6151,182.1,-262.82,1.21,0.415,-0.183,1.15,0.154,-0.115,9.46,0.173,-0.23,1412,484.91,-230.07,0.35,0.12,-0.192
