rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
2361,8655354,K00917.01,6.72,5.53,0.93,22,0.05,388,0.5,0.00072,0.045,0.25,0.056,0.47,0.11,0.05,5826,313.25,-237.99,1.01,0.234,-0.119,1,0.117,-0.085,9.56,0.289,-0.322,1097,272.49,-141.7,0.35,0.234,-0.197
2362,8672910,K00918.01,39.643,10.66,0.00036,53,0.072,188,0.5,0.00029,0.0000028,0.000068,1.7E-09,1.4E-21,1.5E-10,0.116,5363,61.88,-60.58,0.84,0.069,-0.046,0.88,0.038,-0.045,9.65,0.38,-0.424,778,65.34,-45.37,0.09,0.044,-0.058
2363,8686150,K00919.01,51.426,32.2,0.9,0.5,0.001,1504,0.5,0.13,0.77,0.00047,2.5E-09,0.00085,1.1E-09,0.25,6035,92.76,-127.52,1.19,0.341,-0.137,1.13,0.091,-0.072,9.53,0.155,-0.29,1788,504.5,-213.1,0.25,0.049,-0.094
2364,8689031,K00920.01,21.805,3.26,0.00042,510,0.172,152,0.5,0.00000028,0.000009,0.000015,4.3E-09,0.00039,0.00000013,0.035,5452,124.72,-99.37,0.85,0.079,-0.06,0.89,0.048,-0.056,9.62,0.361,-0.401,833,79.01,-63.88,0.13,0.116,-0.098
2365,8689373,K00921.01,10.282,2.75,0.00045,79,0.2,97,0.5,0.000003,0.000091,0.00034,0.00000047,0.00000024,0.000015,0.031,5215,68.55,-99.67,0.81,0.052,-0.042,0.85,0.041,-0.045,9.67,0.387,-0.424,849,56.45,-49.24,0.26,0.065,-0.115
2366,8689373,K00921.02,18.12,3.28,0.000059,150,0.173,141,0.5,0.000000099,0.000032,0.000027,6.1E-12,8.9E-13,0.00000018,0.037,5215,68.55,-99.67,0.81,0.052,-0.042,0.85,0.041,-0.045,9.67,0.387,-0.424,849,56.45,-49.24,0.26,0.065,-0.115
2367,8246781,K01067.01,185.023,121.68,1,60,0.001,350,0.5,0.29,0.7,0.0012,0.0019,0.0058,0.0000029,0.905,6160,220.32,-248.49,1.23,0.5,-0.202,1.15,0.195,-0.108,9.44,0.202,-0.211,1230,503.36,-214.93,0.32,0.149,-0.182
2368,8264070,K01068.01,2.897,8.36,0.92,26,0.063,162,2.37,0.00088,0.42,0.051,0.03,0.33,0.083,0.046,6587,315.09,-315.71,1.64,0.638,-0.347,1.4,0.232,-0.189,9.27,0.172,-0.133,1566,618.81,-338.65,1.19,0.203,-0.201
2369,8222813,K01069.01,8.704,3.05,0.000017,1400,0.189,78,0.5,0.000000025,0.0000025,0.000014,6.3E-09,0.000000098,0.00000012,0.033,5321,66.39,-89.66,0.85,0.072,-0.044,0.89,0.037,-0.04,9.67,0.376,-0.441,782,66.29,-45.21,0.17,0.053,-0.098
2370,8222813,K01069.02,2.467,1.48,0.0041,450,0.15,61,0.5,0.000055,0.00011,0.001,0.0002,0.00093,0.0018,0.016,5321,66.39,-89.66,0.85,0.072,-0.044,0.89,0.037,-0.04,9.67,0.376,-0.441,782,66.29,-45.21,0.17,0.053,-0.098
2371,8240904,K01070.01,6.618,2.2,0.000011,140,0.218,88,0.57,1.4E-09,0.000000001,0.000011,1.6E-09,6.1E-09,0.00000014,0.023,5509,146.84,-139.55,0.88,0.093,-0.069,0.91,0.055,-0.058,9.65,0.344,-0.423,1086,119.96,-94.87,0.22,0.129,-0.136
2372,8240904,K01070.02,107.722,3.26,0.000037,12,0.167,459,0.96,7.3E-09,0.000000046,0.000036,2.8E-10,5.4E-14,0.0000011,0.034,5509,146.84,-139.55,0.88,0.093,-0.069,0.91,0.055,-0.058,9.65,0.344,-0.423,1086,119.96,-94.87,0.22,0.129,-0.136
2373,8244190,K01071.01,1.092,1.63,1,65,0.173,30,4,0.000074,0.00000015,0.26,0.00014,0.00019,0.74,0.015,5768,192.54,-207.59,1,0.227,-0.106,1,0.088,-0.072,9.61,0.294,-0.366,797,184.7,-91.49,0.32,0.156,-0.177
2374,8229696,K01072.01,10.128,2.04,0.000005,95,0.219,75,0.5,3.8E-09,0.000000054,0.000004,0.000000075,0.00000091,0.000000016,0.02,5708,132.48,-100.55,0.94,0.134,-0.078,0.95,0.058,-0.066,9.64,0.291,-0.399,871,127.86,-77.67,0.12,0.101,-0.086
2375,8262210,K01073.01,1.613,1.19,1,0.096,0.124,136,1.44,0.000049,0.0015,0.95,0.00000098,4.6E-13,0.046,0.011,5661,91.22,-64.18,0.99,0.2,-0.078,1,0.059,-0.046,9.6,0.299,-0.387,707,144.24,-59.54,0.05,0.072,-0.034
2376,10272640,K01074.01,3.771,12.72,0.00023,460,0.07,287,0.5,3.8E-10,0.00023,3.9E-49,1.5E-13,2.1E-24,4.8E-13,0.108,5947,98.03,-124.75,1.07,0.211,-0.105,1.06,0.066,-0.067,9.57,0.198,-0.33,1461,288.98,-152.32,0.18,0.061,-0.104
2377,10232123,K01075.01,1.344,14.36,0.14,800,0.057,463,0.5,0.0074,0.13,0.002,0.00038,0.00069,7E-17,0.074,6589,295.8,-2702.14,2.45,93.667,-0.949,1.69,0.58,-0.363,9.13,0.177,-0.116,1150,1760.32,-440.54,0.63,0.101,-0.18
2378,6545358,K01233.01,1.172,8.17,1,5.9,0.054,532,0.5,0.00000018,0.92,0.0027,0.0038,0.078,0.000017,0.049,7132,409.72,-374.65,1.53,0.085,-0.101,1.42,0.048,-0.092,9.14,0.11,-0.075,2768,145.79,-194.18,0.58,0.196,-0.208
2379,6390824,K01234.01,0.974,42.81,1,22,0.001,163,0.5,0.044,0.019,0.067,0.0089,0.6,0.26,0.337,6087,309.42,-273.51,1.16,0.367,-0.192,1.1,0.178,-0.116,9.49,0.231,-0.26,1514,497.72,-275.82,0.46,0.203,-0.212
2380,6546528,K01235.01,3.054,2.94,1,9.5,0.157,49,0.5,0.0036,0.044,0.12,0.014,0.35,0.47,0.024,6009,274.77,-262.04,1.12,0.34,-0.166,1.08,0.16,-0.1,9.5,0.252,-0.259,988,310.75,-159.05,0.39,0.188,-0.209
2381,6677841,K01236.01,35.736,5.69,0.78,0.49,0.051,223,0.5,0.038,0.19,0.005,0.097,0.45,0.00054,0.031,6491,83.47,-68.09,1.61,0.394,-0.238,1.32,0.145,-0.107,9.41,0.071,-0.087,1192,284.21,-175.52,0.04,0.054,-0.03
2382,6677841,K01236.02,12.31,3.92,0.000033,210,0.106,88,0.5,0.0000017,0.00003,0.00000076,0.00000021,0.00000027,0.000000069,0.021,6491,83.47,-68.09,1.61,0.394,-0.238,1.32,0.145,-0.107,9.41,0.071,-0.087,1192,284.21,-175.52,0.04,0.054,-0.03
2383,6677841,K01236.03,54.421,4.97,1,1,0.069,236,2.13,0.019,0.66,0.15,0.067,0.051,0.051,0.027,6491,83.47,-68.09,1.61,0.394,-0.238,1.32,0.145,-0.107,9.41,0.071,-0.087,1192,284.21,-175.52,0.04,0.054,-0.03
2384,6531491,K01237.01,14.324,69.62,1,11,0.001,951,0.5,0.044,0.51,0.078,0.085,0.26,0.022,0.567,5852,70.56,-97.05,1.11,0.371,-0.12,1.08,0.117,-0.058,9.59,0.179,-0.338,1537,515.5,-170.06,0.29,0.035,-0.076
2385,6383821,K01238.01,27.072,2.19,0.0000087,1.2,0.214,78,0.63,1.8E-13,0.000000029,0.0000078,6E-20,1.5E-31,0.00000089,0.021,5665,292.13,-204.55,0.95,0.181,-0.096,0.96,0.097,-0.065,9.58,0.345,-0.357,751,156.97,-84.17,0.3,0.226,-0.186
2386,6607286,K01239.01,0.783,1.69,0.000017,27000,0.186,21,1.65,0.0000029,0.00000005,0.0000088,0.00000054,0.0000038,0.00000041,0.015,5867,123.66,-125.42,1.04,0.199,-0.099,1.03,0.064,-0.061,9.59,0.225,-0.349,1139,219.56,-116.28,0.16,0.093,-0.103
2387,6607286,K01239.02,3.174,1.81,0.00009,2800,0.194,64,1.29,0.00000033,8.2E-11,0.000082,0.00000054,0.00000012,0.0000071,0.016,5867,123.66,-125.42,1.04,0.199,-0.099,1.03,0.064,-0.061,9.59,0.225,-0.349,1139,219.56,-116.28,0.16,0.093,-0.103
2388,6690082,K01240.01,2.14,1.53,0.00014,2200,0.155,24,0.57,3.2E-09,1.2E-09,0.00012,0.00000044,0.000021,0.0000011,0.015,5649,112.95,-108.91,0.93,0.126,-0.067,0.95,0.049,-0.055,9.63,0.31,-0.396,746,101.69,-59.03,0.14,0.098,-0.089
2389,9143254,K01386.01,1.138,39.75,1,77,0.001,357,0.5,0.14,0.84,0.0000027,0.00052,0.016,0.0014,0.42,5495,59.02,-59.45,0.87,0.106,-0.057,0.91,0.04,-0.051,9.68,0.356,-0.44,1055,128.76,-72.68,0.07,0.041,-0.05
2390,8949247,K01387.01,23.8,87.26,0.98,450,0.001,165,0.5,0.12,0.84,0.00016,0.0034,0.0047,0.00000017,0.765,5878,155.91,-154.34,1.04,0.201,-0.107,1.03,0.083,-0.067,9.57,0.235,-0.333,984,190.08,-108.49,0.2,0.115,-0.127
2391,9346253,K01388.01,34.065,17.7,0.17,7.6,0.04,1231,0.5,0.0028,0.17,0.00077,1.4E-19,5.6E-14,1.7E-09,0.164,5811,115.06,-118.58,0.99,0.177,-0.095,0.99,0.063,-0.062,9.62,0.251,-0.377,1322,234.18,-136.61,0.14,0.088,-0.095
2392,9002237,K01389.01,4.35,22.06,0.83,550,0.012,1040,0.5,0.12,0.68,0.0014,0.01,0.025,0.0000059,0.215,5711,74.06,-73.87,0.94,0.172,-0.073,0.97,0.047,-0.058,9.62,0.303,-0.385,937,170.53,-78.64,0.08,0.051,-0.054
2393,9288786,K01390.01,1.744,7.14,0.014,260,0.052,1150,0.5,0.0002,0.0091,0.005,0.000000031,0.0000015,2.4E-12,0.1,4347,137.21,-136.44,0.66,0.032,-0.077,0.71,0.044,-0.105,9.31,0.518,-0.189,471,30.39,-67.68,0.16,0.205,-0.127
2394,8958035,K01391.01,7.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,9040849,K01392.01,4.119,6.26,0.00026,450,0.051,225,0.5,0.000018,0.00024,0.000005,0.000000036,3.2E-10,7.1E-12,0.052,5994,190.49,-231.17,1.09,0.242,-0.139,1.07,0.113,-0.095,9.53,0.211,-0.298,1643,376.2,-226.69,0.42,0.139,-0.181
2396,9202151,K01393.01,1.695,2.58,0.043,530,0.209,146,3,0.001,0.000035,0.041,0.000077,0.000001,0.000017,0.041,3917,34.63,-33.7,0.56,0.016,-0.021,0.58,0.02,-0.024,9.48,0.382,-0.293,325,14.94,-16.52,0.04,0.049,-0.03
2397,8937021,K01394.01,5.664,2.92,0.00041,51,0.197,2353,0.5,0.00026,0.000018,0.000079,0.00003,0.0000014,0.000023,0.036,4893,50.78,-49.59,0.74,0.023,-0.033,0.79,0.032,-0.041,9.71,0.332,-0.42,678,25,-32.4,0.09,0.059,-0.058
2398,8935810,K01395.01,6.23,3.67,0.00005,1300,0.13,283,0.5,0.000000038,0.0000023,0.000037,0.0000034,0.0000031,0.0000033,0.043,5186,57.3,-52.13,0.78,0.044,-0.057,0.82,0.047,-0.053,9.68,0.34,-0.399,1068,64.89,-81.32,0.07,0.052,-0.048
2399,9455556,K01396.01,6.626,2.74,0.000004,890,0.195,126,0.5,0.0000024,0.000000047,0.0000014,2.3E-10,0.00000018,3.5E-09,0.027,5562,60.99,-67.82,0.93,0.168,-0.062,0.95,0.037,-0.042,9.72,0.309,-0.479,1364,242.91,-97.62,0.11,0.035,-0.059
2400,9455556,K01396.02,3.701,1.71,0.000012,3100,0.183,113,1.08,1.2E-10,3.9E-10,0.0000095,0.00000062,0.00000089,0.0000013,0.017,5562,60.99,-67.82,0.93,0.168,-0.062,0.95,0.037,-0.042,9.72,0.309,-0.479,1364,242.91,-97.62,0.11,0.035,-0.059
2401,8689373,K00921.03,3.784,1.78,0.00021,1900,0.173,93,0.5,0.00000012,0.0000053,0.00012,0.000013,0.000045,0.000029,0.02,5215,68.55,-99.67,0.81,0.052,-0.042,0.85,0.041,-0.045,9.67,0.387,-0.424,849,56.45,-49.24,0.26,0.065,-0.115
2402,8826878,K00922.01,5.154,2.53,0.000042,690,0.206,73,0.5,1.4E-09,3.9E-11,0.000016,0.000001,0.000024,0.0000014,0.027,5442,108.41,-155.46,0.86,0.08,-0.062,0.89,0.049,-0.057,9.65,0.359,-0.434,887,86.31,-70.93,0.35,0.098,-0.152
2403,8883593,K00923.01,5.743,3.37,0.0000013,85,0.143,89,0.5,0.000000019,6.9E-18,0.0000011,0.00000011,3.9E-09,4.8E-09,0.033,5665,125.31,-112.05,0.93,0.138,-0.071,0.96,0.056,-0.056,9.61,0.317,-0.39,1239,187.53,-102.47,0.14,0.106,-0.095
2404,8951215,K00924.01,39.476,4.73,0.26,18,0.071,269,0.6,0.0077,0.11,0.014,0.021,0.1,0.0029,0.039,5955,95.63,-133.09,1.09,0.264,-0.115,1.07,0.069,-0.072,9.57,0.196,-0.33,1331,326.99,-146.99,0.22,0.058,-0.105
2405,9016295,K00925.01,19.974,26.17,0.96,540,0.006,2006,0.5,0.093,0.84,0.0005,0.0063,0.016,0.0000015,0.249,5766,124.1,-128.95,0.96,0.145,-0.082,0.97,0.065,-0.065,9.63,0.254,-0.39,1118,169.78,-104.54,0.17,0.095,-0.107
2406,9077124,K00926.01,3.166,3.59,3.1E-13,680,0.117,132,0.5,1.8E-26,1.7E-27,3.9E-19,2.8E-13,1.9E-19,3.3E-14,0.036,5638,72.09,-59.22,0.91,0.126,-0.061,0.94,0.043,-0.054,9.61,0.353,-0.387,1270,176.4,-91.44,0.05,0.052,-0.036
2407,9097120,K00927.01,23.9,47.71,0.99,280,0.001,222,0.5,0.12,0.85,0.0022,0.0042,0.012,0.00003,0.426,5895,229.88,-179.68,1.04,0.216,-0.125,1.02,0.093,-0.078,9.56,0.268,-0.315,1376,302.24,-174.23,0.23,0.173,-0.146
2408,9140402,K00928.01,2.494,3.4,1,4.8,0.163,54,0.5,0.021,0.6,0.035,0.012,0.0015,0.33,0.037,5518,52.96,-62.74,0.84,0.021,-0.024,0.92,0.03,-0.033,9.28,0.214,-0.173,911,26.99,-29.01,0.14,0.041,-0.062
2409,9141746,K00929.01,6.492,9.15,0.00032,400,0.067,71,0.5,0.0001,0.00021,0.00000062,7.1E-12,9.1E-18,8E-11,0.084,5723,67.28,-68.28,1,0.235,-0.084,1,0.047,-0.045,9.67,0.261,-0.419,1450,337.32,-126.69,0.09,0.038,-0.051
2410,9159275,K00930.01,3.045,25.76,1,0.00011,0.009,315,1.44,0.71,0.29,0.0028,1.2E-33,3.2E-24,0.00013,0.286,5384,129.45,-111.75,0.82,0.064,-0.06,0.86,0.051,-0.059,9.6,0.371,-0.401,994,86.3,-77.05,0.17,0.123,-0.114
2411,9166862,K00931.01,3.856,13.7,0.000016,1300,0.064,57,0.6,8.5E-10,0.000016,0.00000013,2.8E-12,1.3E-16,1.3E-12,0.12,5846,206.79,-135.84,1.05,0.211,-0.11,1.04,0.087,-0.062,9.56,0.265,-0.326,1299,272.96,-143.93,0.16,0.155,-0.11
2412,10268907,K01077.01,1.104,1.49,0.3,5100,0.147,403,4,0.000001,0.000012,0.11,0.00018,0.0015,0.19,0.017,5244,61.48,-75.02,0.81,0.054,-0.048,0.84,0.041,-0.047,9.68,0.349,-0.424,970,65.78,-62.96,0.15,0.05,-0.083
2413,10166274,K01078.01,3.354,2.28,0.00035,2900,0.211,150,0.5,0.0000074,0.00011,0.0002,0.000016,0.0000067,0.00001,0.041,3973,41.5,-40.5,0.54,0.027,-0.027,0.56,0.033,-0.032,9.52,0.399,-0.308,280,18.57,-19.66,0.05,0.061,-0.035
2414,10166274,K01078.02,6.877,2.17,0.00054,950,0.215,231,0.5,0.000092,0.00019,0.000059,0.00003,0.00016,0.00001,0.039,3973,41.5,-40.5,0.54,0.027,-0.027,0.56,0.033,-0.032,9.52,0.399,-0.308,280,18.57,-19.66,0.05,0.061,-0.035
2415,10166274,K01078.03,28.465,2.16,0.000056,260,0.215,349,0.54,0.0000042,0.000000039,0.000048,0.000000034,0.00000061,0.000003,0.039,3973,41.5,-40.5,0.54,0.027,-0.027,0.56,0.033,-0.032,9.52,0.399,-0.308,280,18.57,-19.66,0.05,0.061,-0.035
2416,10158990,K01080.01,1.097,1.38,1,4.9,0.136,116,4,0.000000043,0.00000046,0.34,0.0017,0.00017,0.66,0.017,5032,128.21,-96.49,0.75,0.045,-0.058,0.78,0.046,-0.06,9.71,0.331,-0.418,536,36.04,-44.84,0.17,0.154,-0.121
2417,10149023,K01081.01,9.956,23.29,1,0.6,0.009,74,0.57,0.00072,0.082,0.17,0.034,0.59,0.12,0.189,5997,100.27,-129.53,1.14,0.274,-0.13,1.09,0.093,-0.072,9.54,0.17,-0.296,1413,336.72,-171.53,0.21,0.061,-0.101
2418,10141900,K01082.01,6.503,1.57,0.014,260,0.155,123,3.3,0.000041,0.000053,0.0066,0.000097,0.00019,0.0073,0.018,5167,75.56,-90.38,0.8,0.045,-0.037,0.84,0.036,-0.042,9.7,0.337,-0.405,904,53.03,-47.97,0.18,0.079,-0.109
2419,10141900,K01082.02,4.097,1.39,0.26,250,0.135,104,3.9,0.00015,0.0011,0.045,0.0003,0.0014,0.21,0.016,5167,75.56,-90.38,0.8,0.045,-0.037,0.84,0.036,-0.042,9.7,0.337,-0.405,904,53.03,-47.97,0.18,0.079,-0.109
2420,10141900,K01082.03,1.197,1.22,0.0078,2100,0.116,75,2.31,0.000098,0.000054,0.0021,0.00036,0.00095,0.0042,0.014,5167,75.56,-90.38,0.8,0.045,-0.037,0.84,0.036,-0.042,9.7,0.337,-0.405,904,53.03,-47.97,0.18,0.079,-0.109
2421,10141900,K01082.04,9.655,1.59,0.039,28,0.151,177,3,0.0000087,0.0000088,0.017,0.00017,0.00072,0.02,0.018,5167,75.56,-90.38,0.8,0.045,-0.037,0.84,0.036,-0.042,9.7,0.337,-0.405,904,53.03,-47.97,0.18,0.079,-0.109
2422,10157458,K01083.01,7.337,1.64,0.00018,71,0.172,97,1.8,0.00000017,9.1E-09,0.00017,0.000000028,0.0000011,0.0000056,0.017,5560,130.66,-99.45,0.89,0.112,-0.065,0.92,0.049,-0.054,9.62,0.348,-0.408,1014,136.85,-79.17,0.13,0.115,-0.09
2423,10148521,K01084.01,1.204,1.31,0.25,880,0.127,69,4,0.0000071,0.00000034,0.13,0.00011,0.0034,0.12,0.013,5607,99.64,-118.6,0.92,0.122,-0.063,0.95,0.047,-0.052,9.62,0.339,-0.395,693,93.75,-51.32,0.19,0.079,-0.111
2424,6690082,K01240.02,4.807,2.04,0.16,1100,0.209,85,1.47,0.012,0.064,0.023,0.01,0.021,0.032,0.02,5649,112.95,-108.91,0.93,0.126,-0.067,0.95,0.049,-0.055,9.63,0.31,-0.396,746,101.69,-59.03,0.14,0.098,-0.089
2425,6448890,K01241.01,21.405,11.35,0.47,1.4,0.073,59,0.5,0.033,0.43,0.00094,1.8E-09,0.01,0.000023,0.025,4948,60.35,-49.53,4.11,0.201,-0.221,1.29,0.035,-0.048,9.65,0.041,-0.037,895,44.61,-47.09,0.25,0.079,-0.05
2426,6448890,K01241.02,10.501,5.01,1,0.21,0.077,35,0.69,9.3E-11,0.89,0.0059,4E-14,0.1,0.00018,0.011,4948,60.35,-49.53,4.11,0.201,-0.221,1.29,0.035,-0.048,9.65,0.041,-0.037,895,44.61,-47.09,0.25,0.079,-0.05
2427,6607447,K01242.01,99.644,12.17,0.62,22,0.07,120,0.5,0.076,0.5,0.0055,0.012,0.026,0.00001,0.072,6441,115.56,-159.59,1.55,0.691,-0.268,1.33,0.225,-0.123,9.34,0.111,-0.131,1123,491.56,-196.77,0.21,0.063,-0.108
2428,6677256,K01243.01,3.126,1.81,0.99,180,0.215,86,4,0.0000093,0.0083,0.21,0.0033,0.027,0.74,0.014,6129,109.89,-137.69,1.2,0.452,-0.157,1.13,0.136,-0.089,9.51,0.155,-0.255,1138,421.26,-156.62,0.19,0.066,-0.103
2429,6692833,K01244.01,10.805,2.23,0.002,230,0.207,69,0.5,0.000037,0.00018,0.00075,0.000097,0.00084,0.00013,0.017,6107,120.65,-164.08,1.21,0.4,-0.159,1.14,0.131,-0.081,9.49,0.163,-0.258,1147,377.22,-162.18,0.18,0.086,-0.116
2430,6693640,K01245.01,13.719,2.38,0.00003,230,0.205,39,0.57,4.5E-11,0.000000034,0.0000077,2.6E-09,0.000022,0.000000039,0.017,6215,133.7,-144.11,1.28,0.501,-0.19,1.18,0.169,-0.099,9.46,0.135,-0.217,1081,410.15,-169.28,0.18,0.079,-0.103
2431,6441738,K01246.01,19.037,2.03,0.00053,53,0.208,85,4.5,2.4E-09,0.000000003,0.00042,2.2E-13,0.000011,0.000091,0.019,5799,118.08,-93.91,0.96,0.123,-0.082,0.97,0.06,-0.067,9.59,0.276,-0.362,1003,130.18,-91.52,0.1,0.094,-0.066
2432,8801343,K01247.01,2.74,22.12,0.73,140,0.007,839,0.5,0.02,0.71,0.00028,1.1E-09,0.000065,3.9E-17,0.14,6400,92.68,-105.37,1.5,0.936,-0.27,1.3,0.289,-0.132,9.35,0.114,-0.186,452,271.76,-82.61,0.07,0.041,-0.046
2433,8488878,K01248.01,5.802,21.71,0.42,31,0.014,1850,0.5,0.032,0.3,0.0036,0.0057,0.08,0.0000087,0.215,5625,79.9,-112.76,0.92,0.12,-0.067,0.94,0.046,-0.055,9.64,0.326,-0.423,1076,139.9,-86.55,0.18,0.058,-0.1
2434,8560285,K01249.01,85.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,8620565,K01250.01,0.782,51.3,0.96,1200,0.001,6276,0.5,0.093,0.73,0.03,0.0031,0.11,0.00015,0.455,5848,89.25,-121.5,1.04,0.261,-0.104,1.03,0.063,-0.059,9.64,0.206,-0.377,1072,262.06,-112.12,0.2,0.056,-0.102
2436,6774826,K01376.01,7.139,40.48,1,2.8,0.001,50,0.5,0.022,0.035,0.037,0.16,0.56,0.19,0.19,7011,165.37,-125.86,1.99,0.472,-0.379,1.6,0.163,-0.162,9.13,0.071,-0.067,2008,483.57,-383.41,0.09,0.088,-0.061
2437,7211469,K01377.01,11.297,1.71,0.00053,160,0.193,52,1.11,8.8E-10,0.0000054,0.0003,0.00000055,0.00018,0.000053,0.014,6027,163.05,-193.26,1.12,0.283,-0.156,1.07,0.106,-0.095,9.54,0.203,-0.301,1132,294.49,-167.03,0.28,0.112,-0.152
2438,7375795,K01378.01,19.301,1.42,0.016,31,0.135,27,7.2,4.8E-12,0.000000092,0.016,0.000000028,0.0000003,0.00007,0.014,5646,55.18,-64.2,0.92,0.095,-0.065,0.91,0.041,-0.044,9.8,0.195,-0.425,426,43.52,-31.05,0.51,0.031,-0.055
2439,7375795,K01378.02,0.692,0.61,1,0.092,0.011,9,0.5,0.082,0.000048,0.28,0.39,0.018,0.23,0.006,5646,55.18,-64.2,0.92,0.095,-0.065,0.91,0.041,-0.044,9.8,0.195,-0.425,426,43.52,-31.05,0.51,0.031,-0.055
2440,7211221,K01379.01,5.622,1.24,0.000087,150,0.122,29,0.54,0.00000092,0.00000022,0.000026,0.00005,0.0000043,0.0000053,0.012,5731,77.81,-60.13,0.97,0.072,-0.051,0.99,0.034,-0.036,9.62,0.221,-0.34,576,43.57,-31.13,0.06,0.068,-0.043
2441,7025526,K01380.01,1.074,0.58,1,0.15,0.01,7,0.5,0.065,0.0000065,0.11,0.56,1E-13,0.26,0.007,4933,78.15,-89.47,0.75,0.041,-0.043,0.79,0.046,-0.049,9.62,0.395,-0.332,124,7.69,-7.9,0.16,0.088,-0.1
2442,9451127,K01381.01,5.117,23,0.47,9.1,0.012,1824,0.5,0.063,0.41,0.0032,0.000014,0.000000013,0.0000019,0.256,5553,61.8,-56.12,0.82,0.088,-0.081,0.86,0.064,-0.075,9.59,0.385,-0.393,1190,132.11,-124.7,0.05,0.047,-0.035
2443,9446824,K01382.01,4.202,21.33,0.45,220,0.012,1402,0.5,0.006,0.44,0.00012,1.6E-14,9.5E-15,2.5E-23,0.209,5699,69.87,-69.39,0.95,0.166,-0.074,0.96,0.047,-0.055,9.67,0.276,-0.431,1354,234.32,-113.22,0.07,0.048,-0.049
2444,8953257,K01383.01,3.222,29.68,0.94,250,0.001,1159,0.5,0.06,0.86,0.00058,0.0041,0.022,0.00000082,0.224,6128,123.9,-165.6,1.21,0.371,-0.158,1.14,0.132,-0.087,9.49,0.161,-0.251,1175,362.77,-160.75,0.22,0.079,-0.12
2445,8971432,K01384.01,0.624,39.08,1,340,0.001,10951,0.5,0.66,0.3,0.018,0.00082,0.014,0.0096,0.436,5399,141.29,-193.28,0.82,0.078,-0.064,0.86,0.056,-0.067,9.64,0.378,-0.422,835,85.13,-74.16,0.48,0.134,-0.2
2446,9278553,K01385.01,18.61,76.44,0.95,230,0.001,247,0.5,0.099,0.83,0.00051,0.0053,0.016,0.000012,0.616,6011,98.17,-134.78,1.14,0.238,-0.13,1.1,0.079,-0.071,9.55,0.174,-0.312,1847,392.08,-218.6,0.29,0.051,-0.104
2447,9166870,K00932.01,3.856,3.78,0.000006,2400,0.101,83,0.5,6.3E-10,2.1E-12,0.0000059,5.7E-09,0.00000012,0.000000046,0.035,5777,188.18,-141.68,1,0.189,-0.1,1,0.077,-0.059,9.6,0.276,-0.37,1082,211.62,-114.38,0.17,0.148,-0.117
2448,9171801,K00933.01,3.187,5.65,0.99,0.68,0.05,1042,0.5,0.57,0.11,0.3,0.0012,0.0015,0.011,0.056,5556,214.68,-183.04,0.93,0.181,-0.079,0.95,0.074,-0.053,9.63,0.346,-0.411,1202,235.84,-114.7,0.27,0.198,-0.171
2449,9334289,K00934.01,5.827,3.77,0.000016,2200,0.117,101,0.5,0.0000083,3E-11,0.0000067,0.000000043,0.0000011,8.9E-09,0.038,5614,91.03,-81.49,0.9,0.1,-0.066,0.93,0.047,-0.055,9.62,0.335,-0.389,1373,154.54,-106.12,0.09,0.078,-0.065
2450,9334289,K00934.02,12.412,2.37,0.000037,290,0.212,170,0.99,0.000000017,0.000000019,0.000011,0.000018,0.0000048,0.0000026,0.024,5614,91.03,-81.49,0.9,0.1,-0.066,0.93,0.047,-0.055,9.62,0.335,-0.389,1373,154.54,-106.12,0.09,0.078,-0.065
2451,9334289,K00934.03,18.747,2.64,0.00007,290,0.202,188,0.69,0.0000021,0.000023,0.000039,0.000000019,0.0000035,0.0000024,0.027,5614,91.03,-81.49,0.9,0.1,-0.066,0.93,0.047,-0.055,9.62,0.335,-0.389,1373,154.54,-106.12,0.09,0.078,-0.065
2452,9347899,K00935.01,20.86,6.22,0.55,2.5,0.052,111,0.5,0.083,0.47,0.0036,0.000000017,0.00082,0.000032,0.042,6118,86.12,-76.01,1.2,0.222,-0.141,1.08,0.077,-0.062,9.63,0.109,-0.233,1642,301.61,-197.39,0.09,0.066,-0.056
2453,9347899,K00935.02,42.634,5.72,0.0067,39,0.064,150,0.5,0.00015,0.0064,0.000098,0.00000001,0.00000058,0.00000046,0.039,6118,86.12,-76.01,1.2,0.222,-0.141,1.08,0.077,-0.062,9.63,0.109,-0.233,1642,301.61,-197.39,0.09,0.066,-0.056
