kepid_plnt,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1,Latent1,Latent2,RF_100trees_prob,vespa_fp_prob_num
8013419.01,0.0,0.0011497892495463606,0.1423149015932521,0.013687801357955852,0.21600000000000005,0.016049547802030217,0.0016866915890875569,0.9931678809665699,0.773,0.2907026214700231,-0.1568982906761941,0.24,0.00015
8018547.01,0.0,0.0011092941749121774,0.13487464854732895,0.012283924295601406,0.0,0.024249601345861075,0.0009499812784742387,0.9930971375843441,0.612,0.12366249824835515,0.07182471482377467,0.23,1.0
7825899.03,0.9507082380237268,0.0010987031553924675,0.12903819119025306,0.007222455472824483,0.867,0.2752421389986132,2.045954539090153e-05,0.9922509467694496,0.96,-0.3856408585200811,-0.9727265279165322,0.03,0.022
7938496.01,0.0,0.0011059895601259763,0.13071344892221182,0.009419424672811365,0.775,0.052460024459108516,0.0002760246854957432,0.9926646033180184,0.937,0.5647573704842241,-0.5582141318743543,0.0,0.001
8552202.01,0.0,0.0010643568312211338,0.1308294283036551,0.009096336143274184,0.0,0.059755180171595125,0.0002843585125388804,0.9923098483246506,0.9259999999999999,0.21116447353705128,-0.30603005531751604,0.05,7.299999999999999e-06
9140402.01,0.0,0.0010742706755797362,0.1312242268041237,0.008531833240397548,0.064,0.04756238155750305,0.00025085652782546935,0.9921020396393624,0.192,0.17478565141115776,0.4973934890931462,0.6,1.0
8951215.01,0.0,0.0011303136919129306,0.12937910028116215,0.0071492012989142935,0.555,0.19053623890989396,0.00011026486560774672,0.9927584151944482,0.24100000000000002,0.5680468676346189,0.2949643122604489,0.15,0.26
9347899.04,0.9568617536429168,0.0011057728640744221,0.1287680412371134,0.00808803752419064,0.33,0.2886756738144453,6.1753658389645725e-06,0.9922654030258174,0.9790000000000001,-0.5878812025190897,-0.5732213672237444,0.42,0.003
9904059.01,0.0,0.001113005094795042,0.13098992502343018,0.009219011381900484,0.0,0.08239628364244549,0.0002697743152133904,0.992974105615256,0.462,0.12588466907730672,0.24316632772442498,0.25,0.83
2860866.01,0.0,0.0011289322545842727,0.13038191190253046,0.008768327483845574,0.0,0.06355201952579209,0.0003499457313683692,0.9927107403064264,0.9940000000000001,0.22835888895552175,-0.3830986720862285,0.03,0.3
10319385.01,0.0,0.0010795797288428134,0.13069119025304593,0.00939908813592679,0.14300000000000002,0.10321826260698527,0.00013168280110860902,0.9915718487475732,0.503,0.2273001833343288,0.16077516091864275,0.06,0.008
10482160.01,0.0,0.0011063416912097518,0.12990042174320526,0.008838849345622726,0.0,0.11777125865747005,0.00015393411931378503,0.9924665987427672,0.7,0.15811915408246802,-0.02590548402642824,0.06,0.0052
3240158.03,0.954727408624418,0.001098025980231361,0.12858575445173384,0.008754551120149574,0.5479999999999999,0.3972634135757549,6.57538953703516e-06,0.9919958092235528,0.963,-0.5172484342514236,-0.736134449528165,0.68,0.14
10350571.02,0.9565007145952154,0.0010891956161305288,0.12857157919400186,0.008769967527142718,0.8959999999999999,0.22188115348016893,4.909457511112055e-05,0.9925965512601164,0.907,-0.3725969277487246,-0.9787668456549624,0.02,0.0
11013201.01,0.0,0.0011433696290190686,0.12792877225866914,0.007117787909600814,0.2014407374890256,0.019911689061581955,0.001460844876218542,0.9919999615525096,0.938,0.2897615662982399,-0.331590190459558,0.17,0.00044
9414417.01,0.0,0.0010895206602078602,0.12792877225866914,0.007117787909600814,0.0,0.0683283874603102,0.0002751079645209981,0.992780330263942,0.9009999999999999,0.20450126671716487,-0.27409911116446595,0.19,0.0013
6131236.01,0.0,0.001100626332850011,0.12971883786316776,0.008217928953324368,0.043,0.10666993474716437,0.00016610150679676516,0.9926165439550934,0.858,0.2031928088819343,-0.20762061930108808,0.0,0.041
